Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
D Padikkal (LSG),2024-2024,7,7,0,38,13,5.42,53,71.69,0,0,2,3,0
Swapnil Singh (RCB),2024-2024,7,5,3,37,15*,18.5,21,176.19,0,0,1,3,3
Mohammad Nabi (MI),2024-2024,7,5,1,35,23,8.75,31,112.9,0,0,1,2,2
SB Dubey (RR),2024-2024,4,3,1,33,25,16.5,19,173.68,0,0,1,3,2
KV Sharma (RCB),2024-2024,9,3,0,31,20,10.33,15,206.66,0,0,0,2,3
Rasikh Salam (DC),2024-2024,8,4,0,28,10,7,30,93.33,0,0,0,4,0
KS Williamson (GT),2024-2024,2,2,0,27,26,13.5,27,100,0,0,0,4,0
Harpreet Singh (PBKS),2024-2024,2,2,0,27,14,13.5,34,79.41,0,0,0,2,0
SS Prabhudessai (RCB),2024-2024,1,1,0,24,24,24,18,133.33,0,0,0,3,0
TK Kotian (RR),2024-2024,1,1,0,24,24,24,31,77.41,0,0,0,3,0
JD Unadkat (SRH),2024-2024,11,5,2,24,8*,8,26,92.3,0,0,0,2,1
B Kumar (SRH),2024-2024,16,5,2,23,13,7.66,29,79.31,0,0,1,3,0
AJ Turner (LSG),2024-2024,2,2,0,21,16,10.5,18,116.66,0,0,0,0,2
RD Chahar (PBKS),2024-2024,9,2,1,21,16,21,15,140,0,0,0,3,1
Yudhvir Singh (LSG),2024-2024,2,2,0,21,14,10.5,14,150,0,0,0,1,2
SN Thakur (CSK),2024-2024,9,3,2,21,17,21,17,123.52,0,0,0,2,1
K Rabada (PBKS),2024-2024,11,3,2,20,11*,20,14,142.85,0,0,0,0,2
Gulbadin Naib (DC),2024-2024,2,1,0,19,19,19,15,126.66,0,0,0,1,1
M Jansen (SRH),2024-2024,3,2,1,18,17,18,13,138.46,0,0,0,1,1
Sumit Kumar (DC),2024-2024,4,3,1,18,9*,9,24,75,0,0,0,2,1
SD Chauhan (RCB),2024-2024,3,3,0,18,9,6,15,120,0,0,1,1,1
PP Chawla (MI),2024-2024,11,6,2,15,10,3.75,15,100,0,0,2,1,1
MJ Santner (CSK),2024-2024,3,3,0,14,11,4.66,17,82.35,0,0,1,1,0
Sanvir Singh (SRH),2024-2024,4,3,2,14,8*,14,12,116.66,0,0,1,1,0
TA Boult (RR),2024-2024,16,5,3,14,12,7,16,87.5,0,0,1,2,0
G Coetzee (MI),2024-2024,10,5,1,14,8,3.5,22,63.63,0,0,1,0,1
R Sai Kishore (GT),2024-2024,5,2,1,13,13,13,6,216.66,0,0,0,0,2
HV Patel (PBKS),2024-2024,14,4,1,13,12,4.33,19,68.42,0,0,2,1,1
DG Nalkande (GT),2024-2024,3,1,0,12,12,12,11,109.09,0,0,0,0,1
UT Yadav (GT),2024-2024,7,2,1,12,10*,12,15,80,0,0,0,0,1
Mohammed Siraj (RCB),2024-2024,14,3,1,12,12,6,8,150,0,0,1,0,2
JJ Bumrah (MI),2024-2024,13,4,4,12,8*,0,12,100,0,0,0,1,0
Lalit Yadav (DC),2024-2024,2,2,0,10,7,5,12,83.33,0,0,0,1,0
Avesh Khan (RR),2024-2024,16,3,3,10,7*,0,5,200,0,0,0,1,0
L Wood (MI),2024-2024,2,1,1,9,9*,0,3,300,0,0,0,0,1
A Manohar (GT),2024-2024,2,2,0,9,8,4.5,16,56.25,0,0,0,1,0
AA Kulkarni (LSG),2024-2024,2,2,0,9,9,4.5,8,112.5,0,0,1,2,0
MA Starc (KKR),2024-2024,14,5,3,9,6*,4.5,11,81.81,0,0,2,1,0
D Ferreira (RR),2024-2024,2,2,0,8,7,4,11,72.72,0,0,0,0,0
V Viyaskanth (SRH),2024-2024,3,1,1,7,7*,0,5,140,0,0,0,0,0
SH Johnson (GT),2024-2024,5,3,3,6,5*,0,7,85.71,0,0,0,1,0
Anmolpreet Singh (SRH),2024-2024,2,2,0,5,5,2.5,6,83.33,0,0,1,1,0
Noor Ahmad (GT),2024-2024,10,4,2,5,4,2.5,9,55.55,0,0,0,1,0
MS Wade (GT),2024-2024,2,1,0,4,4,4,6,66.66,0,0,0,0,0
Arshdeep Singh (PBKS),2024-2024,14,1,0,4,4,4,3,133.33,0,0,0,1,0
A Madhwal (MI),2024-2024,5,1,1,4,4*,0,5,80,0,0,0,0,0
A Nortje (DC),2024-2024,6,2,0,4,4,2,8,50,0,0,1,0,0
Ravi Bishnoi (LSG),2024-2024,14,3,0,4,2,1.33,6,66.66,0,0,1,0,0
RJW Topley (RCB),2024-2024,4,1,1,3,3*,0,6,50,0,0,0,0,0
AS Roy (KKR),2024-2024,4,1,1,3,3*,0,3,100,0,0,0,0,0
RK Bhui (DC),2024-2024,2,2,0,3,3,1.5,9,33.33,0,0,1,0,0
Mukesh Kumar (DC),2024-2024,10,2,1,3,3,3,9,33.33,0,0,0,0,0
K Kushagra (DC),2024-2024,4,3,0,3,2,1,7,42.85,0,0,1,0,0
